time,zlev,latitude,longitude,sst
UTC,m,degrees_north,degrees_east,degree_C
2018-01-01T12:00:00Z,0.0,-6.875,113.125,29.05
2018-01-02T12:00:00Z,0.0,-6.875,113.125,29.36
2018-01-03T12:00:00Z,0.0,-6.875,113.125,29.41
2018-01-04T12:00:00Z,0.0,-6.875,113.125,29.3
2018-01-05T12:00:00Z,0.0,-6.875,113.125,29.27
2018-01-06T12:00:00Z,0.0,-6.875,113.125,29.41
2018-01-07T12:00:00Z,0.0,-6.875,113.125,29.58
2018-01-08T12:00:00Z,0.0,-6.875,113.125,29.67
2018-01-09T12:00:00Z,0.0,-6.875,113.125,29.7
2018-01-10T12:00:00Z,0.0,-6.875,113.125,29.69
2018-01-11T12:00:00Z,0.0,-6.875,113.125,29.62
2018-01-12T12:00:00Z,0.0,-6.875,113.125,29.49
2018-01-13T12:00:00Z,0.0,-6.875,113.125,29.34
2018-01-14T12:00:00Z,0.0,-6.875,113.125,29.29
2018-01-15T12:00:00Z,0.0,-6.875,113.125,29.26
2018-01-16T12:00:00Z,0.0,-6.875,113.125,29.19
2018-01-17T12:00:00Z,0.0,-6.875,113.125,29.02
2018-01-18T12:00:00Z,0.0,-6.875,113.125,28.99
2018-01-19T12:00:00Z,0.0,-6.875,113.125,28.98
2018-01-20T12:00:00Z,0.0,-6.875,113.125,28.97
2018-01-21T12:00:00Z,0.0,-6.875,113.125,29.23
2018-01-22T12:00:00Z,0.0,-6.875,113.125,29.8
2018-01-23T12:00:00Z,0.0,-6.875,113.125,29.9
2018-01-24T12:00:00Z,0.0,-6.875,113.125,29.8
2018-01-25T12:00:00Z,0.0,-6.875,113.125,29.68
2018-01-26T12:00:00Z,0.0,-6.875,113.125,29.59
2018-01-27T12:00:00Z,0.0,-6.875,113.125,29.51
2018-01-28T12:00:00Z,0.0,-6.875,113.125,29.44
2018-01-29T12:00:00Z,0.0,-6.875,113.125,29.38
2018-01-30T12:00:00Z,0.0,-6.875,113.125,28.46
2018-01-31T12:00:00Z,0.0,-6.875,113.125,28.04
2018-02-01T12:00:00Z,0.0,-6.875,113.125,28.01
2018-02-02T12:00:00Z,0.0,-6.875,113.125,28.01
2018-02-03T12:00:00Z,0.0,-6.875,113.125,28.17
2018-02-04T12:00:00Z,0.0,-6.875,113.125,28.06
2018-02-05T12:00:00Z,0.0,-6.875,113.125,27.98
2018-02-06T12:00:00Z,0.0,-6.875,113.125,27.7
2018-02-07T12:00:00Z,0.0,-6.875,113.125,27.73
2018-02-08T12:00:00Z,0.0,-6.875,113.125,27.61
2018-02-09T12:00:00Z,0.0,-6.875,113.125,27.63
2018-02-10T12:00:00Z,0.0,-6.875,113.125,27.78
2018-02-11T12:00:00Z,0.0,-6.875,113.125,27.78
2018-02-12T12:00:00Z,0.0,-6.875,113.125,27.76
2018-02-13T12:00:00Z,0.0,-6.875,113.125,27.61
2018-02-14T12:00:00Z,0.0,-6.875,113.125,27.67
2018-02-15T12:00:00Z,0.0,-6.875,113.125,27.4
2018-02-16T12:00:00Z,0.0,-6.875,113.125,27.08
2018-02-17T12:00:00Z,0.0,-6.875,113.125,27.55
2018-02-18T12:00:00Z,0.0,-6.875,113.125,27.84
2018-02-19T12:00:00Z,0.0,-6.875,113.125,27.93
2018-02-20T12:00:00Z,0.0,-6.875,113.125,28.2
2018-02-21T12:00:00Z,0.0,-6.875,113.125,28.45
2018-02-22T12:00:00Z,0.0,-6.875,113.125,28.49
2018-02-23T12:00:00Z,0.0,-6.875,113.125,28.37
2018-02-24T12:00:00Z,0.0,-6.875,113.125,28.44
2018-02-25T12:00:00Z,0.0,-6.875,113.125,28.5
2018-02-26T12:00:00Z,0.0,-6.875,113.125,28.58
2018-02-27T12:00:00Z,0.0,-6.875,113.125,28.54
2018-02-28T12:00:00Z,0.0,-6.875,113.125,28.56
2018-03-01T12:00:00Z,0.0,-6.875,113.125,28.67
2018-03-02T12:00:00Z,0.0,-6.875,113.125,28.8
2018-03-03T12:00:00Z,0.0,-6.875,113.125,28.81
2018-03-04T12:00:00Z,0.0,-6.875,113.125,28.96
2018-03-05T12:00:00Z,0.0,-6.875,113.125,29.0
2018-03-06T12:00:00Z,0.0,-6.875,113.125,29.03
2018-03-07T12:00:00Z,0.0,-6.875,113.125,29.04
2018-03-08T12:00:00Z,0.0,-6.875,113.125,29.04
2018-03-09T12:00:00Z,0.0,-6.875,113.125,28.61
2018-03-10T12:00:00Z,0.0,-6.875,113.125,28.94
2018-03-11T12:00:00Z,0.0,-6.875,113.125,29.08
